repo,commit,commit_msg,file,left_diff,right_diff,merged_diff
sendgrid_sendgrid-nodejs,76a6f8ed46dc674cacad619e5cdb04c597c8a6cd,Merge branch 'main' into snyk-fix-42bc938344358ff81bfef2c7e6b66219,packages/inbound-mail-parser/package.json,"-    ""@sendgrid/helpers"": ""^7.4.6"",
-    ""mailparser"": ""^2.3.4""
+    ""mailparser"": ""^3.3.0"",
+    ""@sendgrid/helpers"": ""^7.4.6""","-  ""version"": ""7.4.6"",
+  ""version"": ""7.6.2"",
-    ""@sendgrid/helpers"": ""^7.4.6"",
+    ""@sendgrid/helpers"": ""^7.6.2"",","-  ""version"": ""7.4.6"",
+  ""version"": ""7.6.2"",
-    ""@sendgrid/helpers"": ""^7.4.6"",
-    ""mailparser"": ""^2.3.4""
+    ""@sendgrid/helpers"": ""^7.6.2"",
+    ""mailparser"": ""^3.3.0"","
sendgrid_sendgrid-nodejs,bef8c63079aefb217ba7383448336229c7c87f44,Merge branch 'main' into snyk-fix-42bc938344358ff81bfef2c7e6b66219,packages/inbound-mail-parser/package.json,"-    ""mailparser"": ""^2.3.4""
+    ""mailparser"": ""^3.3.0""","-  ""version"": ""7.4.3"",
+  ""version"": ""7.4.6"",
-    ""@sendgrid/helpers"": ""^7.4.3"",
+    ""@sendgrid/helpers"": ""^7.4.6"",","-  ""version"": ""7.4.3"",
+  ""version"": ""7.4.6"",
-    ""@sendgrid/helpers"": ""^7.4.3"",
-    ""mailparser"": ""^2.3.4""
+    ""mailparser"": ""^3.3.0""
+    ""@sendgrid/helpers"": ""^7.4.6"","
sendgrid_sendgrid-nodejs,dba7f7bb02c62caa2d33617ca36ea09089a42eeb,Merge branch 'master' of https://github.com/digitalica/sendgrid-nodejs into digitalica-master,packages/helpers/classes/attachment.spec.js,"-      attachment.setContent(""Just a string."");
+      attachment.setContent('Just a string.');
-          filePath: ''
+          filePath: '',
-    attachment.setContent(new Buffer(""Hello World\n""));
+    attachment.setContent(new Buffer('Hello World\n'));
-      filePath: path.resolve(__dirname + '/attachment.js')
+      filePath: path.resolve(path.join(__dirname, '/attachment.js')),","-      filePath: path.resolve(__dirname + '/attachment.js')
+      filePath: path.join(__dirname, '/attachment.js'),","-      attachment.setContent(""Just a string."");
+      attachment.setContent('Just a string.');
-          filePath: ''
+          filePath: '',
-    attachment.setContent(new Buffer(""Hello World\n""));
+    attachment.setContent(new Buffer('Hello World\n'));
-      filePath: path.resolve(__dirname + '/attachment.js')
+      filePath: path.join(__dirname, '/attachment.js'),"
sendgrid_sendgrid-nodejs,61f74bd2b48581285740e5009b353e9e006afb37,Merge branch 'master' into master,packages/client/package.json,"-    ""@types/request"": ""^2.0.3"",
+  },
+  ""devDependencies"": {
+    ""@types/request"": ""^2.0.3""","-  ""description"": ""SendGrid NodeJS API client"",
-  ""version"": ""6.3.0"",
-  ""author"": ""SendGrid <dx@sendgrid.com> (sendgrid.com)"",
+  ""description"": ""Twilio SendGrid NodeJS API client"",
+  ""version"": ""6.4.0"",
+  ""author"": ""Twilio SendGrid <dx@sendgrid.com> (sendgrid.com)"",
-    ""@sendgrid/helpers"": ""^6.3.0"",
+    ""@sendgrid/helpers"": ""^6.4.0"",","-  ""description"": ""SendGrid NodeJS API client"",
-  ""version"": ""6.3.0"",
-  ""author"": ""SendGrid <dx@sendgrid.com> (sendgrid.com)"",
+  ""description"": ""Twilio SendGrid NodeJS API client"",
+  ""version"": ""6.4.0"",
+  ""author"": ""Twilio SendGrid <dx@sendgrid.com> (sendgrid.com)"",
-    ""@sendgrid/helpers"": ""^6.3.0"",
-    ""@types/request"": ""^2.0.3"",
+    ""@sendgrid/helpers"": ""^6.4.0"",
+  },
+  ""devDependencies"": {
+    ""@types/request"": ""^2.0.3"""
sendgrid_sendgrid-nodejs,fc1cb691dbf6896132a94c0802c17cdffb7e8e4b,Merge pull request #812 from valtlfelipe/fix-parser  Fix parser constructor error when passing payload,packages/inbound-mail-parser/src/parser.js,"-}
+};","-    this.payload = request.body || {};
+    this.payload = request.body || request.payload || {};","-}
+};
-    this.payload = request.body || {};
+    this.payload = request.body || request.payload || {};"
sendgrid_sendgrid-nodejs,fc1cb691dbf6896132a94c0802c17cdffb7e8e4b,Merge pull request #812 from valtlfelipe/fix-parser  Fix parser constructor error when passing payload,packages/inbound-mail-parser/src/parser.spec.js,"-        expect(email).to.be.null;
+        expect(email).to.be.null();","+    it('should return the key values specified in the config from the body', () => {
+      const config = {
+        keys: ['to', 'from'],
+      };
+      const request = {
+        body: {
+          to: 'inbound@inbound.example.com',
+          from: 'Test User <test@example.com>',
+          subject: 'Test Subject',
+        },
+      };
+
+      const parse = new Parse(config, request);
+      const keyValues = parse.keyValues();
+      const expectedValues = {
+        to: 'inbound@inbound.example.com',
+        from: 'Test User <test@example.com>',
+      };
+
+      expect(keyValues).to.be.an('object');
+      expect(keyValues).to.deep.equal(expectedValues);
+    });
+
-        body: {
+        payload: {","+    it('should return the key values specified in the config from the body', () => {
+      const config = {
+        keys: ['to', 'from'],
+      };
+      const request = {
+        body: {
+          to: 'inbound@inbound.example.com',
+          from: 'Test User <test@example.com>',
+          subject: 'Test Subject',
+        },
+      };
+
+      const parse = new Parse(config, request);
+      const keyValues = parse.keyValues();
+      const expectedValues = {
+        to: 'inbound@inbound.example.com',
+        from: 'Test User <test@example.com>',
+      };
+
+      expect(keyValues).to.be.an('object');
+      expect(keyValues).to.deep.equal(expectedValues);
+    });
+
-        body: {
+        payload: {
-        expect(email).to.be.null;
+        expect(email).to.be.null();"
sendgrid_sendgrid-nodejs,0bdab102f358f3d21826d5fa802c4636de10c175,"Merge pull request #809 from aslafy-z/patch-5  Properly capitalize ""SendGrid"" brand",packages/contact-importer/src/importer.js,"-  _worker (task, callback) {
+  _worker(task, callback) {
-  _sendBatch (context, data, callback) {
+  _sendBatch(context, data, callback) {
-    const request = context.sg.emptyRequest();
-    request.method = 'POST';
-    request.path = '/v3/contactdb/recipients';
-    request.body = data;
+    const request = {
+      method: 'POST',
+      path: '/v3/contactdb/recipients',
+      body: data,
+    };
-    context.sg.API(request)
-      .then((response) => {
+    context.sg.request(request)
+      .then(([response]) => {
-  _notify (error, result, batch) {
+  _notify(error, result, batch) {
-  };
+  }
-  _setupQueue () {
+  _setupQueue() {
-      if (!this.pendingItems.length) return;
+      if (!this.pendingItems.length) {
+        return;
+      }
-  _pushToQueue (batch) {
+  _pushToQueue(batch) {","-   * Send a batch of contacts to Sendgrid.
+   * Send a batch of contacts to SendGrid.","-   * Send a batch of contacts to Sendgrid.
+   * Send a batch of contacts to SendGrid.
-  _worker (task, callback) {
+  _worker(task, callback) {
-  _sendBatch (context, data, callback) {
+  _sendBatch(context, data, callback) {
-    const request = context.sg.emptyRequest();
-    request.method = 'POST';
-    request.path = '/v3/contactdb/recipients';
-    request.body = data;
+    const request = {
+      method: 'POST',
+      path: '/v3/contactdb/recipients',
+      body: data,
+    };
-    context.sg.API(request)
-      .then((response) => {
+    context.sg.request(request)
+      .then(([response]) => {
-  _notify (error, result, batch) {
+  _notify(error, result, batch) {
-  };
+  }
-  _setupQueue () {
+  _setupQueue() {
-      if (!this.pendingItems.length) return;
+      if (!this.pendingItems.length) {
+        return;
+      }
-  _pushToQueue (batch) {
+  _pushToQueue(batch) {"
sendgrid_sendgrid-nodejs,0220500cd54c44992099d0b06f3095a24c10befa,Merge pull request #502 from spelcaster/i496  Prevent secrets from sending in email,packages/mail/src/classes/mail-service.js,+        // eslint-disable-next-line callback-return,"-    //Set client and initialize substitution wrappers
+    //Set client, initialize substitution wrappers and secret rules
+    //filter
+    this.secretRules = [];
+  }
+
+  /**
+   * Set secret rules for filtering the e-mail content
+   */
+  setSecretRules(rules) {
+    if (!(rules instanceof Array)) {
+      rules = [rules];
+    }
+
+    const tmpRules = rules.map(function (rule) {
+      const ruleType = typeof rule;
+
+      if (ruleType === 'string') {
+        return {
+          pattern: new RegExp(rule)
+        };
+      } else if (ruleType === 'object') {
+        // normalize rule object
+        if (rule instanceof RegExp) {
+          rule = {
+            pattern: rule
+          }
+        } else if (rule.hasOwnProperty('pattern')
+          && (typeof rule.pattern === 'string')
+        ) {
+            rule.pattern = new RegExp(rule.pattern);
+        }
+
+        try {
+          // test if rule.pattern is a valid regex
+          rule.pattern.test('');
+          return rule
+        } catch (err) {
+        }
+      }
+    });
+
+    this.secretRules = tmpRules.filter(function (val) {
+      return val;
+    });
+  }
+
+  /**
+   * Check if the e-mail is safe to be sent
+   */
+  filterSecrets(body) {
+    if ((typeof body === 'object') && !body.hasOwnProperty('content')) {
+      return;
+    }
+
+    const self = this;
+
+    body.content.forEach(function (data) {
+      self.secretRules.forEach(function (rule) {
+        if (rule.hasOwnProperty('pattern')
+          && !rule.pattern.test(data.value)
+        ) {
+          return;
+        }
+
+        let message = `The pattern '${rule.pattern}'`;
+
+        if (rule.name) {
+          message += `identified by '${rule.name}'`;
+        }
+
+        message += ` was found in the Mail content!`;
+
+        throw new Error(message);
+      });
+    });
+
+      //Filters the Mail body to avoid sensitive content leakage
+      this.filterSecrets(body);","-    //Set client and initialize substitution wrappers
+    //Set client, initialize substitution wrappers and secret rules
+    //filter
+    this.secretRules = [];
+  }
+
+  /**
+   * Set secret rules for filtering the e-mail content
+   */
+  setSecretRules(rules) {
+    if (!(rules instanceof Array)) {
+      rules = [rules];
+    }
+
+    const tmpRules = rules.map(function (rule) {
+      const ruleType = typeof rule;
+
+      if (ruleType === 'string') {
+        return {
+          pattern: new RegExp(rule)
+        };
+      } else if (ruleType === 'object') {
+        // normalize rule object
+        if (rule instanceof RegExp) {
+          rule = {
+            pattern: rule
+          }
+        } else if (rule.hasOwnProperty('pattern')
+          && (typeof rule.pattern === 'string')
+        ) {
+            rule.pattern = new RegExp(rule.pattern);
+        }
+
+        try {
+          // test if rule.pattern is a valid regex
+          rule.pattern.test('');
+          return rule
+        } catch (err) {
+        }
+      }
+    });
+
+    this.secretRules = tmpRules.filter(function (val) {
+      return val;
+    });
+  }
+
+  /**
+   * Check if the e-mail is safe to be sent
+   */
+  filterSecrets(body) {
+    if ((typeof body === 'object') && !body.hasOwnProperty('content')) {
+      return;
+    }
+
+    const self = this;
+
+    body.content.forEach(function (data) {
+      self.secretRules.forEach(function (rule) {
+        if (rule.hasOwnProperty('pattern')
+          && !rule.pattern.test(data.value)
+        ) {
+          return;
+        }
+
+        let message = `The pattern '${rule.pattern}'`;
+
+        if (rule.name) {
+          message += `identified by '${rule.name}'`;
+        }
+
+        message += ` was found in the Mail content!`;
+
+        throw new Error(message);
+      });
+    });
+
+      //Filters the Mail body to avoid sensitive content leakage
+      this.filterSecrets(body);
+        // eslint-disable-next-line callback-return"
sendgrid_sendgrid-nodejs,ed163d99b1b44b6c84dca1d5c5957c1cd462cb06,Merge pull request #583 from adamreisnz/cleanup  Fix readme instructions and replace stray tab indentation by spaces,packages/helpers/classes/attachment.js,"-    if (typeof content === 'undefined') {
-      return;
+    //Duck type check toString on content if it's a Buffer as that's the method that will be called.
+    if (typeof content === 'string') {      
+      this.content = content;
+    } else if (content instanceof Buffer && content.toString !== undefined) {      
+      this.content = content.toString();
+    } else {
+      throw new Error('`content` expected to be either Buffer or string');
-    if (typeof content !== 'string') {
-      throw new Error('String expected for `content`');
-    }
-    this.content = content;
+
+    return;","-	/**
-	 * Constructor
-	 */
+  /**
+   * Constructor
+   */
-	/**
-	 * To JSON
-	 */
+  /**
+   * To JSON
+   */","-	/**
-	 * Constructor
-	 */
+  /**
+   * Constructor
+   */
-    if (typeof content === 'undefined') {
-      return;
+    //Duck type check toString on content if it's a Buffer as that's the method that will be called.
+    if (typeof content === 'string') {      
+      this.content = content;
+    } else if (content instanceof Buffer && content.toString !== undefined) {      
+      this.content = content.toString();
+    } else {
+      throw new Error('`content` expected to be either Buffer or string');
-    if (typeof content !== 'string') {
-      throw new Error('String expected for `content`');
-    }
-    this.content = content;
+
+    return;    
-	/**
-	 * To JSON
-	 */
+  /**
+   * To JSON
+   */"
sendgrid_sendgrid-nodejs,6f0996ebd794fb1bc184b80b1eae5ed5268ff652,Merge branch 'master' into bug-moment-version-fix,package.json,"-    ""chai-as-promised"": ""^6.0.0"",
-    ""dirty-chai"": ""^1.2.2"",
+    ""chai-as-promised"": ""^7.1.1"",
+    ""dirty-chai"": ""^2.0.1"",
+    ""moment"": ""^2.19.3"",","-    ""eslint"": ""^3.19.0"",
+    ""eslint"": ""^4.19.1"",","-    ""chai-as-promised"": ""^6.0.0"",
-    ""dirty-chai"": ""^1.2.2"",
-    ""eslint"": ""^3.19.0"",
+    ""chai-as-promised"": ""^7.1.1"",
+    ""dirty-chai"": ""^2.0.1"",
+    ""eslint"": ""^4.19.1"",
+    ""moment"": ""^2.19.3"","
