repo,commit,commit_msg,file,left_diff,right_diff,merged_diff
colinhacks_zod,7e86228eecbe3d7857da0305108fcca541fd3aaf,Merge pull request #1617 from Howdju/features/recursive-custom-formatted-error-type  Propagate custom error type to ZodFormattedError subfields,deno/lib/ZodError.ts,"+  received: unknown;
+  exact?: boolean;
+  exact?: boolean;","-  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K]> }
+  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K], U> }
-  ? { [k: number]: ZodFormattedError<NonNullable<T>[number]> }
+  ? { [k: number]: ZodFormattedError<NonNullable<T>[number], U> }
-  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K]> }
+  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K], U> }","+  received: unknown;
+  exact?: boolean;
+  exact?: boolean;
-  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K]> }
+  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K], U> }
-  ? { [k: number]: ZodFormattedError<NonNullable<T>[number]> }
+  ? { [k: number]: ZodFormattedError<NonNullable<T>[number], U> }
-  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K]> }
+  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K], U> }"
colinhacks_zod,7e86228eecbe3d7857da0305108fcca541fd3aaf,Merge pull request #1617 from Howdju/features/recursive-custom-formatted-error-type  Propagate custom error type to ZodFormattedError subfields,src/ZodError.ts,"+  received: unknown;
+  exact?: boolean;
+  exact?: boolean;","-  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K]> }
+  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K], U> }
-  ? { [k: number]: ZodFormattedError<NonNullable<T>[number]> }
+  ? { [k: number]: ZodFormattedError<NonNullable<T>[number], U> }
-  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K]> }
+  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K], U> }","+  received: unknown;
+  exact?: boolean;
+  exact?: boolean;
-  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K]> }
+  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K], U> }
-  ? { [k: number]: ZodFormattedError<NonNullable<T>[number]> }
+  ? { [k: number]: ZodFormattedError<NonNullable<T>[number], U> }
-  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K]> }
+  ? { [K in keyof NonNullable<T>]?: ZodFormattedError<NonNullable<T>[K], U> }"
colinhacks_zod,d1982eaf0db82bcd510a3fabe617368a8dd393a0,Merge branch 'master' of https://github.com/colinhacks/zod,src/types.ts,"+        received: ctx.data,","-  nullish(): ZodNullable<ZodOptional<this>> {
-    return this.optional().nullable();
+  nullish(): ZodOptional<ZodNullable<this>> {
+    return this.nullable().optional();","-  nullish(): ZodNullable<ZodOptional<this>> {
-    return this.optional().nullable();
+  nullish(): ZodOptional<ZodNullable<this>> {
+    return this.nullable().optional();
+        received: ctx.data,"
colinhacks_zod,84795b099e70b9862783df981a9246d241e4abfa,Merge pull request #1702 from p10ns11y/patch-1  change the chaining order of nullish method,src/types.ts,"-    return ZodOptional.create(this) as any;
+    return ZodOptional.create(this, this._def) as any;
-    return ZodNullable.create(this) as any;
+    return ZodNullable.create(this, this._def) as any;
-    return ZodArray.create(this);
+    return ZodArray.create(this, this._def);
-    return ZodPromise.create(this);
+    return ZodPromise.create(this, this._def);
-    return ZodUnion.create([this, option]) as any;
+    return ZodUnion.create([this, option], this._def) as any;
-    return ZodIntersection.create(this, incoming);
+    return ZodIntersection.create(this, incoming, this._def);
+      ...processCreateParams(this._def),
+      ...processCreateParams(this._def),
-      ...processCreateParams(undefined),
-    });
-  }
-  catch(def: Input): ZodCatch<this>;
-  catch(def: () => Input): ZodCatch<this>;
+      ...processCreateParams(this._def),
+    });
+  }
+
+  catch(def: Output): ZodCatch<this>;
+  catch(def: () => Output): ZodCatch<this>;
