repo,commit,commit_msg,file,left_diff,right_diff,merged_diff
sendgrid_sendgrid-nodejs,a724ae65881710bfbdd3d8d5769b2e42bfb402b7,Merge branch 'main' into snyk-fix-42bc938344358ff81bfef2c7e6b66219,packages/eventwebhook/src/eventwebhook.d.ts,,"-import {PublicKey} from ""starkbank-ecdsa"";
+// From starkbank-ecdsa, minimal interface of PublicKey
+declare class PublicKey {
+  toString(encode?: boolean): string;
+  static fromPem(pem: string): PublicKey;
+  static fromDer(der: string): PublicKey;
+  static fromString(key: string): PublicKey;
+}","-import {PublicKey} from ""starkbank-ecdsa"";
+// From starkbank-ecdsa, minimal interface of PublicKey
+declare class PublicKey {
+  toString(encode?: boolean): string;
+  static fromPem(pem: string): PublicKey;
+  static fromDer(der: string): PublicKey;
+  static fromString(key: string): PublicKey;
+}"
sendgrid_sendgrid-nodejs,a724ae65881710bfbdd3d8d5769b2e42bfb402b7,Merge branch 'main' into snyk-fix-42bc938344358ff81bfef2c7e6b66219,packages/helpers/classes/mail.d.ts,,"+    enable?: boolean;
+  };
+  bypassSpamManagement?: {
+    enable?: boolean;
+  };
+  bypassBounceManagement?: {
+    enable?: boolean;
+  };
+  bypassUnsubscribeManagement?: {","+    enable?: boolean;
+  };
+  bypassSpamManagement?: {
+    enable?: boolean;
+  };
+  bypassBounceManagement?: {
+    enable?: boolean;
+  };
+  bypassUnsubscribeManagement?: {"
sendgrid_sendgrid-nodejs,a724ae65881710bfbdd3d8d5769b2e42bfb402b7,Merge branch 'main' into snyk-fix-42bc938344358ff81bfef2c7e6b66219,packages/helpers/helpers/validate-settings.js,,"+      bypassSpamManagement,
+      bypassBounceManagement,
+      bypassUnsubscribeManagement,
+    validate(bypassSpamManagement, 'bypassSpamManagement', 'enable', 'boolean');
+    validate(bypassBounceManagement, 'bypassBounceManagement', 'enable', 'boolean');
+    validate(bypassUnsubscribeManagement, 'bypassUnsubscribeManagement', 'enable', 'boolean');","+      bypassSpamManagement,
+      bypassBounceManagement,
+      bypassUnsubscribeManagement,
+    validate(bypassSpamManagement, 'bypassSpamManagement', 'enable', 'boolean');
+    validate(bypassBounceManagement, 'bypassBounceManagement', 'enable', 'boolean');
+    validate(bypassUnsubscribeManagement, 'bypassUnsubscribeManagement', 'enable', 'boolean');"
sendgrid_sendgrid-nodejs,1529a599f48a654c2cd43722423a10580e5f2693,Merge branch 'main' into snyk-fix-21569f887026e99ccc6b2993e37097bb,lerna.json,,"-  ""version"": ""7.4.7"",
+  ""version"": ""7.6.2"",","-  ""version"": ""7.4.7"",
+  ""version"": ""7.6.2"","
sendgrid_sendgrid-nodejs,1529a599f48a654c2cd43722423a10580e5f2693,Merge branch 'main' into snyk-fix-21569f887026e99ccc6b2993e37097bb,packages/client/package.json,,"-  ""version"": ""7.4.7"",
+  ""version"": ""7.6.2"",
-    ""@sendgrid/helpers"": ""^7.4.6"",
-    ""axios"": ""^0.21.4""
+    ""@sendgrid/helpers"": ""^7.6.2"",
+    ""axios"": ""^0.26.0""","-  ""version"": ""7.4.7"",
+  ""version"": ""7.6.2"",
-    ""@sendgrid/helpers"": ""^7.4.6"",
-    ""axios"": ""^0.21.4""
+    ""@sendgrid/helpers"": ""^7.6.2"",
+    ""axios"": ""^0.26.0"""
sendgrid_sendgrid-nodejs,1529a599f48a654c2cd43722423a10580e5f2693,Merge branch 'main' into snyk-fix-21569f887026e99ccc6b2993e37097bb,packages/client/src/client.spec.js,,"-            value: '#'.repeat(1024 * 1024 * 25), // 25 MB,
+            value: '#'.repeat(1024 * 1024 * 10), // 10 MB,
-  it('should have the correct response code', () => {
+  xit('should have the correct response code', () => {
-  it('should have the correct response code', () => {
+  xit('should have the correct response code', () => {
-  it('should have the correct response code', () => {
+  xit('should have the correct response code', () => {
-  it('should have the correct response code', () => {
+  xit('should have the correct response code', () => {
-  it('should have the correct response code', () => {
+  xit('should have the correct response code', () => {
-  it('should have the correct response code', () => {
+  xit('should have the correct response code', () => {
-  it('should have the correct response code', () => {
+  xit('should have the correct response code', () => {
-  it('should have the correct response code', () => {
