repo,commit,commit_msg,file,left_diff,right_diff,merged_diff
pmndrs_zustand,a379a958b620a9b6dc81ac253eab98e06138a22f,Merge branch 'main' into v5,.eslintrc.json,,"-    ""vitest""
+    ""vitest"",
+    ""eslint-plugin-react-compiler""
+    ""react-compiler/react-compiler"": ""warn"",","-    ""vitest""
+    ""vitest"",
+    ""eslint-plugin-react-compiler""
+    ""react-compiler/react-compiler"": ""warn"","
pmndrs_zustand,a379a958b620a9b6dc81ac253eab98e06138a22f,Merge branch 'main' into v5,.github/ISSUE_TEMPLATE/bug_report.md,,"-name: Confirmed bug report
-about: Create a confirmed bug report. Please open a discussion otherwise.
+name: Assigned issue
+about: This is to create a new issue that already has an assignee. Please open a new discussion otherwise.
-
-## Summary
-
-
-
-## Link to reproduction
-
-
-
-## Check List
-
-Please do not ask questions in issues.
-
-- [ ] I've already opened a [discussion](https://github.com/pmndrs/zustand/discussions) before opening this issue, or already discussed in other media.
-
-Please include a minimal reproduction.
-
-- [ ] I've added a link to a [typescript playground](https://www.typescriptlang.org/play) or [codesandbox](https://codesandbox.io) with a minimal reproduction.
-
-Please check this if you're filing an issue regarding TypeScript.
-
-- [ ] I've read the [typescript guide](https://github.com/pmndrs/zustand/blob/main/docs/guides/typescript.md), in particular that `create` is to be used as `create<T>()(...)` and not `create<T>(...)`.","-name: Confirmed bug report
-about: Create a confirmed bug report. Please open a discussion otherwise.
+name: Assigned issue
+about: This is to create a new issue that already has an assignee. Please open a new discussion otherwise.
-
-## Summary
-
-
-
-## Link to reproduction
-
-
-
-## Check List
-
-Please do not ask questions in issues.
-
-- [ ] I've already opened a [discussion](https://github.com/pmndrs/zustand/discussions) before opening this issue, or already discussed in other media.
-
-Please include a minimal reproduction.
-
-- [ ] I've added a link to a [typescript playground](https://www.typescriptlang.org/play) or [codesandbox](https://codesandbox.io) with a minimal reproduction.
-
-Please check this if you're filing an issue regarding TypeScript.
-
-- [ ] I've read the [typescript guide](https://github.com/pmndrs/zustand/blob/main/docs/guides/typescript.md), in particular that `create` is to be used as `create<T>()(...)` and not `create<T>(...)`."
pmndrs_zustand,a379a958b620a9b6dc81ac253eab98e06138a22f,Merge branch 'main' into v5,.github/ISSUE_TEMPLATE/config.yml,,"-  - name: Questions, unconfirmed bugs and ideas
-    url: https://github.com/pmndrs/zustand/discussions/new
-    about: Please post questions, unconfirmed bugs and ideas in discussions.
+  - name: Bug Reports
+    url: https://github.com/pmndrs/zustand/discussions/new?category=bug-report
+    about: Please post bug reports here.
+  - name: Questions
+    url: https://github.com/pmndrs/zustand/discussions/new?category=q-a
+    about: Please post questions here.
+  - name: Other Discussions
+    url: https://github.com/pmndrs/zustand/discussions/new/choose
+    about: Please post ideas and general discussions here.","-  - name: Questions, unconfirmed bugs and ideas
-    url: https://github.com/pmndrs/zustand/discussions/new
-    about: Please post questions, unconfirmed bugs and ideas in discussions.
+  - name: Bug Reports
+    url: https://github.com/pmndrs/zustand/discussions/new?category=bug-report
+    about: Please post bug reports here.
+  - name: Questions
+    url: https://github.com/pmndrs/zustand/discussions/new?category=q-a
+    about: Please post questions here.
+  - name: Other Discussions
+    url: https://github.com/pmndrs/zustand/discussions/new/choose
+    about: Please post ideas and general discussions here."
pmndrs_zustand,a379a958b620a9b6dc81ac253eab98e06138a22f,Merge branch 'main' into v5,.github/pull_request_template.md,,"-## Related Issues or Discussions
+## Related Bug Reports or Discussions","-## Related Issues or Discussions
+## Related Bug Reports or Discussions"
pmndrs_zustand,a379a958b620a9b6dc81ac253eab98e06138a22f,Merge branch 'main' into v5,.github/workflows/test-multiple-versions.yml,"-          - 16.8.0
-          - 17.0.0
-        devtools-skip:
-          - CI-MATRIX-NOSKIP
-        include:
-          - devtools-skip: CI-MATRIX-[2345]
-            react: 16.8.0
-          - devtools-skip: CI-MATRIX-[1345]
-            react: 16.8.0
-          - devtools-skip: CI-MATRIX-[1245]
-            react: 16.8.0
-          - devtools-skip: CI-MATRIX-[1235]
-            react: 16.8.0
-          - devtools-skip: CI-MATRIX-[1234]
-            react: 16.8.0
-        exclude:
-          - devtools-skip: CI-MATRIX-NOSKIP
-            react: 16.8.0
-      - name: Install legacy testing-library
-        if: ${{ startsWith(matrix.react, '16.') || startsWith(matrix.react, '17.') }}
-        run: pnpm add -D @testing-library/react@12.1.4
-      - name: Patch for React 16
-        if: ${{ startsWith(matrix.react, '16.') }}
-        run: |
-          sed -i~ '1s/^/import React from ""react"";/' tests/*.tsx
-          sed -i~ 's/""jsx"": ""react-jsx""/""jsx"": ""react""/' tsconfig.json
-          sed -i~ 's/import\.meta\.env[?]\.MODE/""DEVELOPMENT"".toLowerCase()/' src/*.ts src/*/*.ts
-          sed -i~ ""s/it('\[${DEVTOOLS_SKIP}\]/it.skip('/"" tests/devtools.test.tsx
-        env:
-          DEVTOOLS_SKIP: ${{ matrix.devtools-skip }}","-          - 19.0.0-rc-bf3a29d097-20240603
-          - 0.0.0-experimental-bf3a29d097-20240603
+          - 19.0.0-rc-8971381549-20240625
+          - 0.0.0-experimental-8971381549-20240625","-          - 16.8.0
-          - 17.0.0
+>>>>>>> main
-      - name: Install legacy testing-library
-        if: ${{ startsWith(matrix.react, '16.') || startsWith(matrix.react, '17.') }}
-        run: pnpm add -D @testing-library/react@12.1.4
-      - name: Patch for React 16
-        if: ${{ startsWith(matrix.react, '16.') }}
-        run: |
-          sed -i~ '1s/^/import React from ""react"";/' tests/*.tsx
-          sed -i~ 's/""jsx"": ""react-jsx""/""jsx"": ""react""/' tsconfig.json
-          sed -i~ 's/import\.meta\.env[?]\.MODE/""DEVELOPMENT"".toLowerCase()/' src/*.ts src/*/*.ts
